policy_id,policy_label,target_id,target_label,repeat_index,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,seed,image_path,selected,carried_forward,baseline_prompt,selection_score,clip_score,dinov2_score
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d57688ba6f5f,1,cand_b2c1b1f9e5da,0,baseline_prompt,349335601,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_b2c1b1f9e5da.png,False,False,True,0.813842,0.813842,0.102197
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d57688ba6f5f,1,cand_d83d3a270513,1,forward_escape,1196845848,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_d83d3a270513.png,False,False,False,0.814807,0.814807,0.52728
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d57688ba6f5f,1,cand_8d6338cc73be,2,lateral_plus,991448404,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_8d6338cc73be.png,False,False,False,0.81329,0.81329,0.09919
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d57688ba6f5f,1,cand_81fae7a1dd18,3,lateral_minus,4262246124,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_81fae7a1dd18.png,False,False,False,0.846009,0.846009,0.264925
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d57688ba6f5f,1,cand_4f787b8a69a8,4,counter_probe,2530087889,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_4f787b8a69a8.png,True,False,False,0.880828,0.880828,0.363979
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_5604d4910d5b,2,cand_87343066d4d0,0,incumbent,2530087889,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_4f787b8a69a8.png,True,True,False,0.880828,0.880828,0.363979
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_5604d4910d5b,2,cand_065537c525b7,1,forward_escape,4084514207,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_065537c525b7.png,False,False,False,0.839524,0.839524,0.313782
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_5604d4910d5b,2,cand_94472015f839,2,lateral_plus,548365302,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_94472015f839.png,False,False,False,0.840663,0.840663,0.41125
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_5604d4910d5b,2,cand_e1934b513c7b,3,lateral_minus,4149774212,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_e1934b513c7b.png,False,False,False,0.878648,0.878648,0.197487
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_5604d4910d5b,2,cand_6e8fbf8d6ffe,4,counter_probe,2910073556,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_6e8fbf8d6ffe.png,False,False,False,0.845461,0.845461,0.369871
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_f86e47d86e83,3,cand_0042b9eb43b2,0,incumbent,2530087889,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_4f787b8a69a8.png,True,True,False,0.880828,0.880828,0.363979
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_f86e47d86e83,3,cand_330b6ab890d8,1,forward_escape,578211612,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_330b6ab890d8.png,False,False,False,0.840336,0.840336,0.188935
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_f86e47d86e83,3,cand_99d8eef3498f,2,lateral_plus,895658226,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_99d8eef3498f.png,False,False,False,0.823037,0.823037,0.262631
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_f86e47d86e83,3,cand_ba1937b1f75b,3,lateral_minus,1081934634,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_ba1937b1f75b.png,False,False,False,0.831094,0.831094,0.314531
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_f86e47d86e83,3,cand_6784794cf6e1,4,counter_probe,1405519496,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_6784794cf6e1.png,False,False,False,0.839116,0.839116,0.142101
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_3cdf8d73a551,4,cand_c1ec78057909,0,incumbent,2530087889,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_4f787b8a69a8.png,False,True,False,0.880828,0.880828,0.363979
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_3cdf8d73a551,4,cand_f7a58eff9151,1,forward_escape,741618227,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_f7a58eff9151.png,False,False,False,0.824362,0.824362,0.305704
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_3cdf8d73a551,4,cand_40dafb9a751d,2,lateral_plus,3684565252,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_40dafb9a751d.png,False,False,False,0.84012,0.84012,0.450912
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_3cdf8d73a551,4,cand_cdb9dd4783c6,3,lateral_minus,4197765687,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_cdb9dd4783c6.png,False,False,False,0.813601,0.813601,0.134697
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_3cdf8d73a551,4,cand_3a32d716250b,4,counter_probe,1325516386,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_3a32d716250b.png,True,False,False,0.881225,0.881225,0.526272
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d7e03a8bcf44,5,cand_303d82891a01,0,incumbent,1325516386,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_3a32d716250b.png,True,True,False,0.881225,0.881225,0.526272
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d7e03a8bcf44,5,cand_93f60302b80b,1,forward_escape,2533662222,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_93f60302b80b.png,False,False,False,0.83274,0.83274,0.060543
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d7e03a8bcf44,5,cand_bce348fa3968,2,lateral_plus,463189500,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_bce348fa3968.png,False,False,False,0.843458,0.843458,0.48889
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d7e03a8bcf44,5,cand_a71b77e5bbbb,3,lateral_minus,2903355392,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_a71b77e5bbbb.png,False,False,False,0.880596,0.880596,0.226114
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_d7e03a8bcf44,5,cand_f7ed6c543303,4,counter_probe,657002683,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_f7ed6c543303.png,False,False,False,0.805783,0.805783,0.202494
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_737a26e95b12,6,cand_64427321755b,0,incumbent,1325516386,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_3a32d716250b.png,True,True,False,0.881225,0.881225,0.526272
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_737a26e95b12,6,cand_881ef8fd3438,1,forward_escape,2219180012,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_881ef8fd3438.png,False,False,False,0.831204,0.831204,0.437815
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_737a26e95b12,6,cand_3d12b64811b2,2,lateral_plus,2775471994,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_3d12b64811b2.png,False,False,False,0.802003,0.802003,0.356907
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_737a26e95b12,6,cand_c2b28995281e,3,lateral_minus,1290192137,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_c2b28995281e.png,False,False,False,0.832737,0.832737,0.308966
carry_forward_baseline,carry-forward baseline,cat_portrait_bw,Black-and-white cat portrait,0,ses_2482a4018ef2,rnd_737a26e95b12,6,cand_6ac659014afc,4,counter_probe,160021090,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\cat_portrait_bw\repeat_1\runtime\artifacts\cand_6ac659014afc.png,False,False,False,0.828691,0.828691,0.158637
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_36c63b5b6484,1,cand_3d6891a77ada,0,baseline_prompt,1233304000,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\mountain_lake\repeat_1\runtime\artifacts\cand_3d6891a77ada.png,False,False,True,0.797807,0.797807,0.418845
carry_forward_baseline,carry-forward baseline,mountain_lake,Mountain lake landscape,0,ses_2bc4abb945a5,rnd_36c63b5b6484,1,cand_cf2206a1d14c,1,forward_escape,2356058423,paper\results\oracle_incumbent_policy_compact\runs\carry_forward_baseline\mountain_lake\repeat_1\runtime\artifacts\cand_cf2206a1d14c.png,True,False,False,0.806691,0.806691,0.356123
