slice_id,policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,clip_score,dinov2_score,incumbent_novelty,carried_forward,image_path
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_c61d37acd1cd,1,cand_31335f13fe21,0,baseline_prompt,0.766491,0.306386,1.0,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_31335f13fe21.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_c61d37acd1cd,1,cand_0fbbabeb9826,1,shell_probe,0.804875,0.413819,1.0,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_0fbbabeb9826.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_c61d37acd1cd,1,cand_fdcfccb16882,2,shell_counterprobe,0.803001,0.399345,1.0,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_fdcfccb16882.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_c61d37acd1cd,1,cand_e5d1ab09be51,3,shell_probe,0.791814,0.305611,1.0,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_e5d1ab09be51.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_2c37e121b1c3,2,cand_01f68a6be37d,0,incumbent,0.804875,0.413819,0.0,True,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_0fbbabeb9826.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_2c37e121b1c3,2,cand_b109b224257b,1,shell_probe,0.81484,0.393014,0.084141,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_b109b224257b.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_2c37e121b1c3,2,cand_9b9faa8fbb96,2,shell_counterprobe,0.803176,0.365457,0.045833,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_9b9faa8fbb96.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_2c37e121b1c3,2,cand_ceca294f8d02,3,shell_probe,0.759816,0.289662,0.09559,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_ceca294f8d02.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_8873b0493c9e,3,cand_49655b81ecb7,0,incumbent,0.81484,0.393014,0.0,True,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_b109b224257b.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_8873b0493c9e,3,cand_aaac62d231d3,1,shell_probe,0.827553,0.495444,0.066763,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_aaac62d231d3.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_8873b0493c9e,3,cand_2a1aab2c17bf,2,shell_counterprobe,0.806092,0.590144,0.080001,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_2a1aab2c17bf.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_8873b0493c9e,3,cand_fe4c56926bd4,3,shell_probe,0.814731,0.42264,0.086676,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_fe4c56926bd4.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_fab1727de467,4,cand_66ca2e837ad5,0,incumbent,0.827553,0.495444,0.0,True,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_aaac62d231d3.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_fab1727de467,4,cand_bdbc5f23a2fb,1,shell_probe,0.82231,0.449181,0.051021,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_bdbc5f23a2fb.png
sampler_slice,diversity_shell,Diversity shell,clip_only,mountain_lake,Mountain lake landscape,ses_dbeda88f8050,rnd_fab1727de467,4,cand_d475b308b1d1,2,shell_counterprobe,0.82779,0.509072,0.040294,False,paper\results\method_extension_comparison\runs\sampler_slice\diversity_shell\mountain_lake\runtime\artifacts\cand_d475b308b1d1.png
