policy_id,policy_label,oracle_policy,target_id,target_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,seed,image_path,carried_forward,baseline_prompt,clip_score,dinov2_score,novelty_to_incumbent,oracle_score,selected
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_356abe75dba4,1,cand_7a5c1226333b,0,baseline_prompt,1383346862,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_7a5c1226333b.png,False,True,0.790732,0.328366,0.0,0.790732,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_356abe75dba4,1,cand_253493fe7ba4,1,exploit,2839371445,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_253493fe7ba4.png,False,False,0.80451,0.366466,0.0,0.80451,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_356abe75dba4,1,cand_78735880bc44,2,refine,2325683745,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_78735880bc44.png,False,False,0.809612,0.213437,0.0,0.809612,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_356abe75dba4,1,cand_ac163418304d,3,orthogonal,3607966995,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_ac163418304d.png,False,False,0.717072,0.121198,0.0,0.717072,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_356abe75dba4,1,cand_02a797d6e1fd,4,mirror,3144213129,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_02a797d6e1fd.png,False,False,0.848768,0.482277,0.0,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_ae50a9e9260e,2,cand_cb3e42986487,0,incumbent,3144213129,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_02a797d6e1fd.png,True,False,0.848768,0.482277,0.0,0.848768,True
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_ae50a9e9260e,2,cand_7d3560a00a44,1,exploit,4045885107,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_7d3560a00a44.png,False,False,0.844774,0.389375,0.049614,0.844774,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_ae50a9e9260e,2,cand_0da609502bee,2,refine,348001815,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_0da609502bee.png,False,False,0.782944,0.26845,0.083499,0.782944,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_ae50a9e9260e,2,cand_2a2fe54ac7de,3,orthogonal,306194094,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_2a2fe54ac7de.png,False,False,0.820458,0.449415,0.079671,0.820458,False
baseline_clip,Baseline CLIP oracle,clip_only,mountain_lake,Mountain lake landscape,ses_0ee9a24658e2,rnd_ae50a9e9260e,2,cand_d045afc1ce59,4,mirror,524657684,paper\results\oracle_plateau_reformulation\runs\baseline_clip\mountain_lake\runtime\artifacts\cand_d045afc1ce59.png,False,False,0.809215,0.355012,0.070472,0.809215,False
