slice_name,condition_id,condition_label,target_id,target_label,prompt_text,repeat_index,max_rounds,baseline_image_path,final_winner_image_path,baseline_clip_score,baseline_siglip_score,baseline_dinov2_score,baseline_lpips_score,baseline_oracle_score,final_clip_score,final_siglip_score,final_dinov2_score,final_lpips_score,final_oracle_score
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_10a4942cb2eb.png,0.715891,0.620311,-0.002904,0.649554,0.05984399039110369,0.752028,0.709872,0.126912,0.622222,0.8624933435592511
caption_source_slice,blip_standard_caption,BLIP caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,there are two dogs playing in the snow with a frisbee in their mouth,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\blip_standard_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_29f63aaefb5d.png,0.714005,0.671604,0.055635,0.731992,0.0716978143807412,0.845826,0.726263,-0.022985,0.587805,0.7999999999999999
caption_source_slice,blip_detailed_caption,BLIP selected detailed caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,there are two dogs playing in the snow with a frisbee in their mouth,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\blip_detailed_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_92e99c3c7d21.png,0.813467,0.701371,0.080102,0.580017,0.7980402205107026,0.813467,0.701371,0.080102,0.580017,0.7049484707256048
caption_source_slice,human_caption,Human caption,flickr8k_02_a_girl_wearing_a_brown_cap_red_sneakers_and_a_da,"A girl wearing a brown cap , red sneakers , and a dark green coat sits on a rock bench .","A girl wearing a brown cap , red sneakers , and a dark green coat sits on a rock bench .",1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_02_a_girl_wearing_a_brown_cap_red_sneakers_and_a_da\repeat_1\runtime\artifacts\cand_0647ac5b3d29.png,0.560959,0.537647,0.232983,0.769059,0.15,0.679286,0.693712,0.586819,0.756784,0.7747210840632288
caption_source_slice,blip_standard_caption,BLIP caption,flickr8k_02_a_girl_wearing_a_brown_cap_red_sneakers_and_a_da,"A girl wearing a brown cap , red sneakers , and a dark green coat sits on a rock bench .",there is a woman sitting on a rock with a backpack on her lap,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\blip_standard_caption\flickr8k_02_a_girl_wearing_a_brown_cap_red_sneakers_and_a_da\repeat_1\runtime\artifacts\cand_a86dd67dee98.png,0.69069,0.616752,0.341228,0.758839,0.5368640192197979,0.729252,0.644307,0.510878,0.718603,0.913655392261815
caption_source_slice,blip_detailed_caption,BLIP selected detailed caption,flickr8k_02_a_girl_wearing_a_brown_cap_red_sneakers_and_a_da,"A girl wearing a brown cap , red sneakers , and a dark green coat sits on a rock bench .",there is a woman sitting on a rock with a backpack on her lap,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\blip_detailed_caption\flickr8k_02_a_girl_wearing_a_brown_cap_red_sneakers_and_a_da\repeat_1\runtime\artifacts\cand_1663d43d8644.png,0.738117,0.685505,0.496917,0.661534,0.9999999999999999,0.738117,0.685505,0.496917,0.661534,0.9999999999999999
caption_source_slice,human_caption,Human caption,flickr8k_03_a_black_and_brown_dog_is_walking_in_the_water_an,A black and brown dog is walking in the water and looking at the camera .,A black and brown dog is walking in the water and looking at the camera .,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_03_a_black_and_brown_dog_is_walking_in_the_water_an\repeat_1\runtime\artifacts\cand_d7f26850d1af.png,0.845139,0.810432,0.085019,0.797215,0.38329042859099,0.853914,0.84552,0.039016,0.673997,0.7999999999999999
caption_source_slice,blip_standard_caption,BLIP caption,flickr8k_03_a_black_and_brown_dog_is_walking_in_the_water_an,A black and brown dog is walking in the water and looking at the camera .,there is a dog that is swimming in the water with a frisbee in it ' s mouth,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\blip_standard_caption\flickr8k_03_a_black_and_brown_dog_is_walking_in_the_water_an\repeat_1\runtime\artifacts\cand_49e4920643d1.png,0.788287,0.71613,0.085892,0.708744,0.17511061117360352,0.843966,0.782917,0.164103,0.737218,0.8388957033286965
caption_source_slice,blip_detailed_caption,BLIP selected detailed caption,flickr8k_03_a_black_and_brown_dog_is_walking_in_the_water_an,A black and brown dog is walking in the water and looking at the camera .,there is a dog that is swimming in the water with it ' s head above the water,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\blip_detailed_caption\flickr8k_03_a_black_and_brown_dog_is_walking_in_the_water_an\repeat_1\runtime\artifacts\cand_4591c5ad6e66.png,0.812948,0.747858,0.140364,0.767535,0.2867905224883348,0.880878,0.850083,0.231752,0.701549,0.8660482070635712
caption_source_slice,human_caption,Human caption,flickr8k_04_a_basketball_player_preparing_to_shoot_the_ball,A basketball player preparing to shoot the ball,A basketball player preparing to shoot the ball,1,4,,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_04_a_basketball_player_preparing_to_shoot_the_ball\repeat_1\runtime\artifacts\cand_98530327e8d5.png,0.748998,0.740951,0.654477,0.633658,0.980599096414492,0.756559,0.747464,0.661469,0.634468,0.9999999999999999
