slice_name,condition_id,condition_label,target_id,target_label,prompt_text,repeat_index,winner_candidate_id,winner_selected,round_index,candidate_id,candidate_index,sampler_role,image_path,clip_score,siglip_score,dinov2_score,lpips_score,oracle_score
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_10a4942cb2eb,False,1,cand_7cf93243a7a0,0,baseline_prompt,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_7cf93243a7a0.png,0.715891,0.620311,-0.002904,0.649554,0.05984399039110369
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_10a4942cb2eb,False,1,cand_9030f4da7bc6,1,exploit,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_9030f4da7bc6.png,0.726144,0.658598,-0.058333,0.583877,0.37755294039550236
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_10a4942cb2eb,True,1,cand_10a4942cb2eb,2,refine,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_10a4942cb2eb.png,0.752028,0.709872,0.126912,0.622222,0.9124236795225114
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_10a4942cb2eb,False,1,cand_d3f0c31fbed0,3,orthogonal,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_d3f0c31fbed0.png,0.731188,0.670471,0.027646,0.611389,0.4961691300996855
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_e7768f6e30f7,True,2,cand_e7768f6e30f7,0,incumbent,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_10a4942cb2eb.png,0.752028,0.709872,0.126912,0.622222,0.9999999999999999
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_e7768f6e30f7,False,2,cand_655465424165,1,exploit,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_655465424165.png,0.66035,0.648867,0.03442,0.639016,0.07737730978046928
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_e7768f6e30f7,False,2,cand_d45b080c852c,2,refine,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_d45b080c852c.png,0.718299,0.66904,0.028024,0.633668,0.4121231378500286
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_e7768f6e30f7,False,2,cand_c63b517c7487,3,orthogonal,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_c63b517c7487.png,0.747566,0.675077,0.040931,0.651665,0.48796073291701064
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_48802b5a1988,True,3,cand_48802b5a1988,0,incumbent,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_10a4942cb2eb.png,0.752028,0.709872,0.126912,0.622222,0.8969093851286212
caption_source_slice,human_caption,Human caption,flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence,The dogs are in the snow in front of a fence .,The dogs are in the snow in front of a fence .,1,cand_48802b5a1988,False,3,cand_b89291419463,1,exploit,E:\Projects\StableSteering\paper\results\oracle_caption_metric_extension\runs\caption_source_slice\human_caption\flickr8k_01_the_dogs_are_in_the_snow_in_front_of_a_fence\repeat_1\runtime\artifacts\cand_b89291419463.png,0.774739,0.698371,-0.004434,0.619205,0.7017026133688183
