slice_id,policy_id,policy_label,target_id,target_label,session_id,round_id,round_index,candidate_id,candidate_index,sampler_role,score,image_path
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_94e75f33b939,1,cand_157dd67f8aea,0,baseline_prompt,0.799595,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_157dd67f8aea.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_94e75f33b939,1,cand_ab36a4d927d2,1,exploit,0.749263,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_ab36a4d927d2.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_94e75f33b939,1,cand_90f4afa2c04f,2,explore,0.755379,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_90f4afa2c04f.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_94e75f33b939,1,cand_c70491b36699,3,explore,0.790434,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_c70491b36699.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_0754f9e57e86,2,cand_af1d1e54e3a0,0,incumbent,0.799595,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_157dd67f8aea.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_0754f9e57e86,2,cand_e8af02fbc03e,1,exploit,0.822877,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_e8af02fbc03e.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_0754f9e57e86,2,cand_3ba216391323,2,explore,0.831223,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_3ba216391323.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_0754f9e57e86,2,cand_94b0675d3f07,3,explore,0.827783,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_94b0675d3f07.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_5a5adcbed452,3,cand_0ee5c6265032,0,incumbent,0.831223,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_3ba216391323.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_5a5adcbed452,3,cand_5a195d440bba,1,exploit,0.808542,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_5a195d440bba.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_5a5adcbed452,3,cand_3d6345dce1b4,2,explore,0.801716,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_3d6345dce1b4.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_5a5adcbed452,3,cand_1d029f0702b4,3,explore,0.78691,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_1d029f0702b4.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_b222dfa460e8,4,cand_b4f4a4db0be1,0,incumbent,0.831223,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_3ba216391323.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_b222dfa460e8,4,cand_d9e0affc7f75,1,exploit,0.823547,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_d9e0affc7f75.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_b222dfa460e8,4,cand_ceac2383b431,2,explore,0.796813,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_ceac2383b431.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_b222dfa460e8,4,cand_76ac9d004413,3,explore,0.791273,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_76ac9d004413.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_f1c04289ab13,5,cand_7fdddadadbef,0,incumbent,0.831223,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_3ba216391323.png
sampler_slice,random_local,Random local,mountain_lake,Mountain lake landscape,ses_1321ee779799,rnd_f1c04289ab13,5,cand_f3abe1d29bdb,1,exploit,0.811049,E:\Projects\StableSteering\paper\results\sampler_feedback_comparison\runs\sampler_slice\random_local\mountain_lake\runtime\artifacts\cand_f3abe1d29bdb.png
